how	neutral1
she	negative
did	neutral1
not	neutral1
know	neutral1
anything	neutral1
and	neutral1
she	negative
lied	neutral1
about	neutral1
know	neutral1
her	negative
job	neutral1
.	neutral1
a	neutral1
bit	neutral1
expensive	negative
and	neutral1
limited	negative
plus	neutral1
sizing	negative
.	neutral1
a	neutral1
comfortable	positive
and	neutral1
easy	neutral1
site	positive
to	neutral1
use	neutral1
.	neutral1
a	neutral1
customer	positive
representative	positive
tried	neutral1
to	neutral1
help	neutral1
me	neutral1
but	neutral1
could	neutral1
not	neutral1
find	negative
the	neutral1
item	neutral1
i	neutral1
was	neutral1
looking	neutral1
for	neutral1
.	neutral1
after	neutral1
not	neutral1
receiving	neutral1
shipments	negative
at	neutral1
home	neutral1
in	neutral1
the	neutral1
past	neutral1
i	neutral1
feel	neutral1
more	neutral1
comfortable	positive
with	neutral1
having	neutral1
my	neutral1
purchases	neutral
picked	neutral1
up	neutral1
from	neutral1
the	neutral1
store	neutral
.	neutral1
after	neutral1
typing	neutral1
in	neutral1
a	neutral1
promo	neutral
code	neutral1
for	neutral1
current	neutral1
promotion	negative
and	neutral1
filling	neutral1
in	neutral1
payment	negative
method	negative
,	neutral1
ii	neutral1
entered	neutral1
the	neutral1
code	negative
for	neutral1
my	neutral1
$	neutral1
20	neutral1
reward	neutral1
&	neutral1
it	neutral1
repeatedly	neutral1
rejected	neutral1
it	neutral1
becauseâ”it	neutral1
did	neutral1
not	neutral1
fit	negative
the	neutral1
criteriaâ”	neutral1
.	neutral1
all	neutral1
i	neutral1
wanted	neutral1
to	neutral1
do	neutral1
was	neutral1
change	neutral
them	neutral1
for	neutral1
a	neutral1
smoother	neutral1
size	negative
,	neutral1
but	neutral1
both	neutral1
salespeople	negative
were	neutral1
rude	neutral1
and	neutral1
said	neutral1
i	neutral1
had	neutral1
no	neutral1
choice	neutral1
but	neutral1
to	neutral1
keep	neutral1
them	neutral1
without	neutral1
a	neutral1
receipt	negative
.	neutral1
also	neutral1
,	neutral1
clearance	negative
panties	negative
are	neutral1
very	neutral1
limited	negative
in	neutral1
both	neutral1
variety	neutral1
and	neutral1
size	negative
.	neutral1
although	neutral1
friendly	neutral1
,	neutral1
customer	positive
service	positive
was	neutral1
lax	neutral1
,	neutral1
prices	negative
were	neutral1
high	neutral1
and	neutral1
choices	negative
were	neutral1
low	negative
.	neutral1
although	neutral1
the	neutral1
store	negative
did	neutral1
not	neutral1
have	neutral1
what	neutral1
i	neutral1
was	neutral1
looking	negative
for	neutral1
(	neutral1
ankle-length	neutral1
skirt	negative
)	neutral1
,	neutral1
the	neutral1
sales	positive
person	positive
was	neutral1
very	neutral1
helpful	neutral1
.	neutral1
always	neutral1
a	neutral1
good	neutral1
experience	neutral1
when	neutral1
i	neutral1
go	neutral1
into	neutral1
the	neutral1
store	positive
,	neutral1
they	neutral1
have	neutral1
lots	neutral1
of	neutral1
inventory	positive
on	neutral1
hand	neutral1
and	neutral1
are	neutral1
eager	neutral1
to	neutral1
help	neutral1
me	neutral1
.	neutral1
always	neutral1
easy	neutral1
to	neutral1
order	positive
,	neutral1
but	neutral1
there	neutral1
is	neutral1
a	neutral1
limited	negative
stock	neutral1
in	neutral1
my	neutral1
bra	negative
size	negative
(	neutral1
38f	neutral1
)	neutral1
.	neutral1
always	neutral1
the	neutral1
right	neutral1
fit	positive
and	neutral1
great	neutral1
prices	positive
.	neutral1
and	neutral1
there	neutral1
were	neutral1
limited	negative
choices	neutral1
for	neutral1
no-wire	neutral1
bras	negative
as	neutral1
part	neutral1
of	neutral1
the	neutral1
$	neutral1
25	neutral1
sale	negative
.	neutral1
and	neutral1
there	neutral1
were	neutral1
limited	negative
choices	neutral1
for	neutral1
no-wire	neutral1
bras	negative
as	neutral1
part	neutral1
of	neutral1
the	neutral1
$	neutral1
